100,360,75,0,75,100.0
100,380,75,0,75,100.0
100,400,75,0,75,100.0
100,420,75,0,75,100.0
100,440,75,0,75,100.0
100,460,66,0,66,100.0
100,480,57,0,57,100.0
100,500,51,0,51,100.0
100,520,51,0,51,100.0
100,540,50,1,51,98.04
100,560,40,5,45,88.89
100,580,38,7,45,84.44
100,600,31,14,45,68.89
120,360,75,0,75,100.0
120,380,75,0,75,100.0
120,400,75,0,75,100.0
120,420,75,0,75,100.0
120,440,75,0,75,100.0
120,460,60,0,60,100.0
120,480,57,0,57,100.0
120,500,49,2,51,96.08
120,520,49,2,51,96.08
120,540,41,4,45,91.11
120,560,36,9,45,80.0
120,580,32,13,45,71.11
120,600,27,18,45,60.0
140,360,75,0,75,100.0
140,380,75,0,75,100.0
140,400,75,0,75,100.0
140,420,75,0,75,100.0
140,440,69,0,69,100.0
140,460,60,0,60,100.0
140,480,51,0,51,100.0
140,500,50,1,51,98.04
140,520,41,4,45,91.11
140,540,41,4,45,91.11
140,560,33,12,45,73.33
140,580,35,10,45,77.78
140,600,23,16,39,58.97
160,340,87,0,87,100.0
160,360,75,0,75,100.0
160,380,75,0,75,100.0
160,400,75,0,75,100.0
160,420,75,0,75,100.0
160,440,63,0,63,100.0
160,460,54,0,54,100.0
160,480,48,3,51,94.12
160,500,42,3,45,93.33
160,520,45,0,45,100.0
160,540,42,3,45,93.33
160,560,35,10,45,77.78
160,580,21,18,39,53.85
160,600,11,28,39,28.21
180,340,87,0,87,100.0
180,360,75,0,75,100.0
180,380,75,0,75,100.0
180,400,75,0,75,100.0
180,420,75,0,75,100.0
180,440,53,1,54,98.15
180,460,53,1,54,98.15
180,480,45,0,45,100.0
180,500,42,3,45,93.33
180,520,41,4,45,91.11
180,540,33,6,39,84.62
180,560,26,13,39,66.67
180,580,17,22,39,43.59
180,600,0,39,39,0.0
200,320,87,0,87,100.0
200,340,87,0,87,100.0
200,360,81,0,81,100.0
200,380,75,0,75,100.0
200,400,75,0,75,100.0
200,420,63,0,63,100.0
200,440,54,0,54,100.0
200,460,47,1,48,97.92
200,480,43,2,45,95.56
200,500,41,4,45,91.11
200,520,29,10,39,74.36
200,540,27,12,39,69.23
200,560,27,12,39,69.23
200,580,6,33,39,15.38
200,600,0,39,39,0.0
220,300,93,0,93,100.0
220,320,93,0,93,100.0
220,340,87,0,87,100.0
220,360,81,0,81,100.0
220,380,75,0,75,100.0
220,400,75,0,75,100.0
220,420,57,0,57,100.0
220,440,48,0,48,100.0
220,460,47,1,48,97.92
220,480,37,2,39,94.87
220,500,33,6,39,84.62
220,520,31,8,39,79.49
220,540,21,18,39,53.85
220,560,11,28,39,28.21
220,580,0,39,39,0.0
220,600,0,33,33,0.0
240,300,99,0,99,100.0
240,320,93,0,93,100.0
240,340,93,0,93,100.0
240,360,87,0,87,100.0
240,380,75,0,75,100.0
240,400,63,0,63,100.0
240,420,51,0,51,100.0
240,440,48,0,48,100.0
240,460,41,1,42,97.62
240,480,37,2,39,94.87
240,500,36,3,39,92.31
240,520,26,13,39,66.67
240,540,12,27,39,30.77
240,560,1,32,33,3.03
240,580,0,33,33,0.0
240,600,0,33,33,0.0
260,280,123,0,123,100.0
260,300,99,0,99,100.0
260,320,99,0,99,100.0
260,340,93,0,93,100.0
260,360,93,0,93,100.0
260,380,69,0,69,100.0
260,400,51,0,51,100.0
260,420,50,1,51,98.04
260,440,41,1,42,97.62
260,460,40,2,42,95.24
260,480,39,0,39,100.0
260,500,32,7,39,82.05
260,520,18,15,33,54.55
260,540,3,30,33,9.09
260,560,0,33,33,0.0
260,580,0,33,33,0.0
260,600,0,33,33,0.0
280,280,123,0,123,100.0
280,300,99,0,99,100.0
280,320,91,0,91,100.0
280,340,99,0,99,100.0
280,360,93,0,93,100.0
280,380,63,0,63,100.0
280,400,45,0,45,100.0
280,420,44,1,45,97.78
280,440,40,2,42,95.24
280,460,37,5,42,88.1
280,480,26,7,33,78.79
280,500,24,9,33,72.73
280,520,14,19,33,42.42
280,540,0,33,33,0.0
280,560,0,33,33,0.0
280,580,0,33,33,0.0
280,600,0,33,33,0.0
300,300,91,0,91,100.0
300,320,99,0,99,100.0
300,340,87,0,87,100.0
300,360,77,0,77,100.0
300,380,57,0,57,100.0
300,400,51,0,51,100.0
300,420,41,1,42,97.62
300,440,32,4,36,88.89
300,460,31,5,36,86.11
300,480,24,9,33,72.73
300,500,15,18,33,45.45
300,520,3,30,33,9.09
300,540,0,33,33,0.0
300,560,0,33,33,0.0
300,580,0,27,27,0.0
300,600,0,27,27,0.0
320,320,91,0,91,100.0
320,340,79,0,79,100.0
320,360,71,0,71,100.0
320,380,53,0,53,100.0
320,400,45,0,45,100.0
320,420,38,4,42,90.48
320,440,30,6,36,83.33
320,460,27,9,36,75.0
320,480,22,11,33,66.67
320,500,12,21,33,36.36
320,520,0,27,27,0.0
320,540,0,27,27,0.0
320,560,0,27,27,0.0
320,580,0,27,27,0.0
320,600,0,27,27,0.0
340,340,85,0,85,100.0
340,360,69,0,69,100.0
340,380,56,1,57,98.25
340,400,44,1,45,97.78
340,420,39,3,42,92.86
340,440,37,5,42,88.1
340,460,24,6,30,80.0
340,480,18,9,27,66.67
340,500,5,22,27,18.52
340,520,0,27,27,0.0
340,540,0,27,27,0.0
340,560,0,27,27,0.0
340,580,0,27,27,0.0
340,600,0,27,27,0.0
360,360,81,0,81,100.0
360,380,61,2,63,96.83
360,400,41,4,45,91.11
360,420,29,7,36,80.56
360,440,24,12,36,66.67
360,460,30,6,36,83.33
360,480,11,16,27,40.74
